trans1,"['Desk Top', 'Printer', 'Flash Drive', 'Microsoft Office', 'Speakers', 'Anti-Virus']"
trans2,"['Lab Top', 'Flash Drive', 'Microsoft Office', 'Lab Top Case', 'Anti-Virus']"
trans3,"['Lab Top', 'Printer', 'Flash Drive', 'Microsoft Office', 'Anti-Virus', 'Lab Top Case', 'External Hard-Drive']"
trans4,"['Lab Top', 'Printer', 'Flash Drive', 'Anti-Virus', 'External Hard-Drive', 'Lab Top Case']"
trans5,"['Lab Top', 'Flash Drive', 'Lab Top Case', 'Anti-Virus']"
trans6,"['Lab Top', 'Printer', 'Flash Drive', 'Microsoft Office']"
trans7,"['Desk Top', 'Printer', 'Flash Drive', 'Microsoft Office']"
trans8,"['Lab Top', 'External Hard-Drive', 'Anti-Virus']"
trans9,"['Desk Top', 'Printer', 'Flash Drive', 'Microsoft Office', 'Lab Top Case', 'Anti-Virus', 'Speakers', 'External Hard-Drive']"
trans10,"['Digital Camera', 'Lab Top', 'Desk Top', 'Printer', 'Flash Drive', 'Microsoft Office', 'Lab Top Case', 'Anti-Virus', 'External Hard-Drive', 'Speakers']"
trans11,"['Lab Top', 'Desk Top', 'Lab Top Case', 'External Hard-Drive', 'Speakers', 'Anti-Virus']"
trans12,"['Digital Camera', 'Lab Top', 'Lab Top Case', 'External Hard-Drive', 'Anti-Virus', 'Speakers']"
trans13,"['Digital Camera', 'Speakers']"
trans14,"['Digital Camera', 'Desk Top', 'Printer', 'Flash Drive', 'Microsoft Office']"
trans15,"['Printer', 'Flash Drive', 'Microsoft Office', 'Anti-Virus', 'Lab Top Case', 'Speakers', 'External Hard-Drive']"
trans16,"['Digital Camera', 'Flash Drive', 'Microsoft Office', 'Anti-Virus', 'Lab Top Case', 'External Hard-Drive', 'Speakers']"
trans17,"['Digital Camera', 'Lab Top', 'Lab Top Case']"
trans18,"['Digital Camera', 'Lab Top Case', 'Speakers']"
trans19,"['Digital Camera', 'Lab Top', 'Printer', 'Flash Drive', 'Microsoft Office', 'Speakers', 'Lab Top Case', 'Anti-Virus']"
trans20,"['Digital Camera', 'Lab Top', 'Speakers', 'Anti-Virus', 'Lab Top Case']"
