trans1,"['Decorative Pillows', 'Quilts', 'Embroidered Bedspread']"
trans2,"['Embroidered Bedspread', 'Shams', 'Kids Bedding', 'Bedding Collections', 'Bed Skirts', 'Bedspreads', 'Sheets']"
trans3,"['Decorative Pillows', 'Quilts', 'Embroidered Bedspread', 'Shams', 'Kids Bedding', 'Bedding Collections']"
trans4,"['Kids Bedding', 'Bedding Collections', 'Sheets', 'Bedspreads', 'Bed Skirts']"
trans5,"['Decorative Pillows', 'Kids Bedding', 'Bedding Collections', 'Sheets', 'Bed Skirts', 'Bedspreads']"
trans6,"['Bedding Collections', 'Bedspreads', 'Bed Skirts', 'Sheets', 'Shams', 'Kids Bedding']"
trans7,"['Decorative Pillows', 'Quilts']"
trans8,"['Decorative Pillows', 'Quilts', 'Embroidered Bedspread']"
trans9,"['Bedspreads', 'Bed Skirts', 'Shams', 'Kids Bedding', 'Sheets']"
trans10,"['Quilts', 'Embroidered Bedspread', 'Bedding Collections']"
trans11,"['Bedding Collections', 'Bedspreads', 'Bed Skirts', 'Kids Bedding', 'Shams', 'Sheets']"
trans12,"['Decorative Pillows', 'Quilts']"
trans13,"['Embroidered Bedspread', 'Shams']"
trans14,"['Sheets', 'Shams', 'Bed Skirts', 'Kids Bedding']"
trans15,"['Decorative Pillows', 'Quilts']"
trans16,"['Decorative Pillows', 'Kids Bedding', 'Bed Skirts', 'Shams']"
trans17,"['Decorative Pillows', 'Shams', 'Bed Skirts']"
trans18,"['Quilts', 'Sheets', 'Kids Bedding']"
trans19,"['Shams', 'Bed Skirts', 'Kids Bedding', 'Sheets']"
trans20,"['Decorative Pillows', 'Bedspreads', 'Shams', 'Sheets', 'Bed Skirts', 'Kids Bedding']"
